1336,895
1319,901
1321,920
1315,923
1309,927
1342,922
1332,953
1322,992
1323,992
1258,826
1263,868
1260,887
1264,907
1271,918
1360,964
1453,821
1445,876
1418,894
1326,810
1297,812
1264,830
1267,832
1281,853
1521,1162
1507,423
1009,667
1767,716
1397,651
1717,758
1712,740
945,657
1485,435
1454,937
1489,699
1473,707
1460,704
1592,858
1705,827
779,682
1338,1321
1357,275
1382,932
1418,879
1411,865
1420,846
1883,812
1052,782
1538,806
1539,500
1425,958
1424,964
1437,959
1306,958
1309,963
1321,965
1447,1007
1462,953
1470,948
1457,944
1473,895
1491,434
968,457
2237,486
1434,1141
798,282
1597,807
1560,788
1355,710
1383,727
1421,745
1588,1230
2033,346
907,443
1185,1075
1580,392
888,888
1416,846
1484,789
1479,814
1445,818
1003,776
2057,886
2121,646
1582,999
609,240
609,1099
1760,851
1709,767
1451,180
1567,579
1573,560
1582,550
1596,556
1356,461
751,629
1343,1255
2515,794
2476,372
2290,1373
1532,813
1517,871
1495,774
722,889
1655,784
1785,617
1720,621
1424,643
1434,630
1220,690
543,661
2246,635
1815,1678
387,560
848,199
1366,807
1349,833
1515,455
1513,471
1527,567
1549,593
1573,626
2333,1004
2380,1620
2453,377
735,350
1750,627
1909,1752
443,1644
1402,863
1693,620
1969,607
1712,614
1719,608
1723,610
2335,796
583,834
1527,1540
1161,1526
1637,1197
1026,846
871,933
1354,1184
1393,1162
1373,821
1362,810
1357,788
1380,783
1375,780
2379,917
2262,1752
319,1508
983,623
1842,641
729,640
1408,1039
1404,1031
1629,737
1600,724
1593,743
1582,672
1559,648
1559,680
389,839
914,1355
1780,820
1900,265
1377,272
434,543
1109,602
2580,1524
2321,1945
1401,550
1408,762
1438,731
1467,750
1445,742
1419,720
1428,741
1321,1081
1830,1353
2273,1545
1133,555
772,466
367,492
382,639
464,755
792,1062
1513,1118
1915,985
1787,914
1861,817
1456,666
1253,559
1248,632
1273,968
1113,686
1298,148
1114,718
1094,722
1072,691
1099,643
1162,626
952,252
799,223
1024,828
582,859
1032,703
1315,734
1177,510
1160,659
1084,690
1057,659
1471,867
1401,921
1414,959
14582,977
1172,795
1212,727
1292,613
1420,1010
1474,1166
1474,1024
1813,1007
2011,1026
1914,1009
1361,578
1280,806
1341,774
1317,842
1045,761
0,651
315,741
758,820
305,341
1410,1283
1780,844
